channel_name,title,duration_seconds,view_count,like_count,comment_count,engagement_rate,video_length_category,title_category
The Moon Show,BITCOIN IS ABOUT TO SKYROCKET !!!!!!,30,1651,33,1,0.02059357964869776,short,coins
The Moon Show,ONCE IN A LIFETIME BITCOIN SIGNAL FLASHED NOW!,3216,8892,230,2,0.026090868196131354,long,coins
The Moon Show,I’M GOING ALL IN ON ETHEREUM !!!!!!,209,16218,529,47,0.03551609322974473,short,news-reaction
The Moon Show,New Bitcoin Long Soon !! (Live Trading)🚨,3261,6615,101,2,0.015570672713529856,long,coins
The Moon Show,I DID SOMETHING STUPID…….,320,17650,801,125,0.05246458923512748,short,coins
The Moon Show,Bitcoin Live Trading - PUMP OR BIG FAKEOUT ??!!🚨,2730,6671,88,1,0.013341328136711138,long,coins
The Moon Show,BITCOIN TRAPPED EVERYONE !!!! [MAJOR SHAKEOUT],2732,10367,233,10,0.02343976077939616,long,coins
The Moon Show,ALTCOIN SEASON IS COMING!!!,614,17157,640,18,0.03835169318645451,medium,coins
The Moon Show,THE BITCOIN PRICE IS EXPLODING HIGHER [LIVE],4834,11209,252,4,0.02283879025782853,long,coins
The Moon Show,EMERGENCY BITCOIN NEWS !!!!!!!,567,19702,627,56,0.0346665313166176,short,coins
The Moon Show,this is bad.....,332,16591,717,32,0.04514495810981858,short,undefined
The Moon Show,HUUUGE BITCOIN MOVE INCOMING! [PREPARE NOW],2770,8814,263,5,0.030406171999092353,long,coins
The Moon Show,BITCOIN COULD STILL GO HIGHER !!!!,49,1216,22,2,0.019736842105263157,short,coins
The Moon Show,BITCOIN: SHOCKING NEWS! THIS CHANGES EVERYTHING....,2956,8246,208,11,0.026558331312151347,long,coins
The Moon Show,BITCOIN CORRECTION COMING,680,15342,501,20,0.03395906661452223,medium,coins
The Moon Show,HERE'S WHERE I'D BUY MORE BITCOIN !!!!,30,1157,25,1,0.02247191011235955,short,coins
The Moon Show,I'M TAKING PROFITS RIGHT NOW !!!!,25,3328,75,4,0.023737980769230768,short,undefined
The Moon Show,THIS IS GREAT NEWS FOR BITCOINERS!,2713,5785,151,2,0.02644770959377701,long,coins
The Moon Show,STOP THE NEW WORLD ORDER,38,5990,160,19,0.02988313856427379,short,undefined
The Moon Show,Selling….,487,23126,779,53,0.03597682262388653,short,undefined
The Moon Show,I WENT FROM SUPERMARKET TO BUGATTI !!!!,18,1602,16,1,0.010611735330836454,short,undefined
The Moon Show,My Bullish Bitcoin Trade Setups (Live Trading)🚨,2728,7147,93,5,0.013712047012732615,long,coins
